district,property_type,bedrooms,bathrooms,floors,land_perches,floor_area_sqft,age_years,has_garage,has_pool,furnished,price_lkr
Kandy,House,3,2,2,5.5,1286.0,25,0,1,1,44963220
Ratnapura,Apartment,3,2,1,4.9,1414.0,36,1,0,0,16195290
Matara,Land & House,2,1,1,17.9,1016.0,2,0,0,0,31628569
Negombo,House,4,4,2,54.8,1773.0,24,0,0,1,87849152
Colombo,Land & House,3,3,1,14.5,1165.0,24,0,0,0,126786566
Colombo,House,5,5,2,4.8,2170.0,8,0,0,1,137925548
Colombo,Villa,1,1,3,7.8,686.0,2,0,0,1,94549823
Anuradhapura,Villa,4,3,1,8.2,1657.0,40,1,0,1,32276445
Negombo,House,4,3,2,10.2,1792.0,16,0,0,0,69815556
Jaffna,House,4,4,1,4.7,1534.0,39,0,0,1,24775415
Colombo,House,5,5,1,39.3,2013.0,10,0,0,1,204351639
Ratnapura,Villa,4,4,1,14.9,1505.0,8,1,0,0,48092251
Kurunegala,Apartment,5,4,1,20.7,1773.0,4,0,0,1,27577359
Colombo,Apartment,3,2,1,5.0,1297.0,39,0,0,1,62548828
Colombo,House,3,2,1,4.8,1191.0,4,0,0,1,93481795
Colombo,House,1,1,3,17.2,860.0,0,1,0,0,106667441
Kandy,House,1,1,2,36.7,832.0,11,0,0,1,44269624
Galle,House,2,1,3,15.3,1077.0,7,1,0,0,48240669
Galle,Apartment,2,2,2,35.5,985.0,5,0,0,1,48525522
Kandy,Land & House,3,2,1,29.0,1356.0,15,1,0,1,76632781
Negombo,Apartment,2,2,1,5.2,916.0,7,0,0,0,26796603
Colombo,House,1,1,1,7.4,430.0,8,0,0,0,46460649
Kandy,Land & House,5,5,1,20.1,1804.0,0,1,0,0,90055777
Kandy,Villa,1,1,2,12.8,597.0,13,1,0,0,37045195
Galle,Land & House,4,4,2,9.2,1626.0,2,1,0,1,87937112
Matara,Apartment,2,1,1,12.1,873.0,4,0,0,0,16147442
Colombo,House,5,5,1,12.8,1907.0,19,0,1,0,143287663
Galle,House,5,4,1,40.2,1927.0,6,0,0,1,102881095
Negombo,Villa,4,3,1,5.6,1465.0,3,0,0,0,104229198
Colombo,House,4,4,1,8.9,1542.0,13,0,0,0,121378269
Negombo,House,1,1,2,15.6,444.0,4,0,0,1,32598077
Colombo,Apartment,6,5,1,22.0,2264.0,5,0,1,1,188655772
Colombo,Apartment,5,5,2,18.9,2167.0,14,1,0,0,161066044
Ratnapura,Apartment,5,4,1,46.6,1757.0,20,0,0,0,24210045
Ratnapura,House,4,3,1,27.8,1598.0,20,1,0,0,24420143
Kurunegala,House,3,2,2,16.2,1288.0,10,0,0,0,23452217
Kandy,Apartment,5,5,2,7.6,2130.0,9,1,0,0,61050749
Colombo,Land & House,3,2,1,13.0,1215.0,22,1,0,0,144843316
Jaffna,Villa,3,2,3,21.7,1540.0,3,1,0,1,77788833
Galle,Land & House,2,1,1,31.3,856.0,2,0,0,0,65710484
Colombo,Villa,5,4,1,52.2,2032.0,16,1,0,0,412799888
Galle,Apartment,2,2,2,18.0,1034.0,8,0,0,0,35728310
Colombo,House,2,2,2,15.2,929.0,19,1,0,1,94873134
Anuradhapura,Apartment,3,2,1,4.3,1209.0,4,1,0,1,17170991
Colombo,Apartment,4,3,1,5.1,1513.0,6,1,0,1,95108143
Jaffna,Apartment,4,3,2,6.5,1716.0,31,1,0,0,20863385
Kandy,Apartment,2,2,1,4.8,808.0,8,0,0,1,21620059
Galle,Apartment,1,1,1,11.7,432.0,13,1,0,0,19333089
Galle,House,4,4,2,10.2,1719.0,2,1,0,0,76510385
Colombo,Apartment,6,5,3,19.2,2555.0,3,1,0,0,182095307
Ratnapura,House,4,3,1,15.5,1656.0,0,1,0,1,32374863
Matara,Villa,3,2,2,17.6,1308.0,8,0,0,1,50765631
Ratnapura,House,5,5,2,13.6,1851.0,39,0,1,0,24189651
Anuradhapura,House,3,2,1,8.9,1163.0,28,1,0,1,17565243
Negombo,House,3,2,2,49.8,1187.0,15,1,0,0,92230382
Ratnapura,Apartment,3,2,3,5.4,1541.0,27,0,0,0,15591106
Colombo,House,3,3,1,45.9,1032.0,14,1,0,0,164136535
Colombo,House,4,3,1,9.6,1451.0,7,0,0,1,146067999
Colombo,Apartment,3,3,3,14.8,1463.0,3,0,0,1,122332054
Kandy,House,3,2,2,5.7,1504.0,16,1,0,0,50538902
Kandy,Land & House,3,3,1,5.1,1092.0,3,1,0,1,56115639
Colombo,Land & House,1,1,2,12.4,651.0,8,1,1,0,134929761
Kurunegala,Apartment,3,3,2,24.3,1407.0,24,0,0,1,15652738
Kandy,House,2,2,2,8.7,1148.0,2,1,0,0,41643095
Kandy,Villa,2,2,3,16.4,1227.0,2,0,0,0,78660381
Galle,House,4,3,1,8.9,1659.0,4,0,0,0,57303468
Colombo,Apartment,4,4,1,11.4,1636.0,12,1,0,0,110047527
Kurunegala,House,4,3,2,39.5,1579.0,4,1,0,0,37197324
Colombo,Land & House,3,3,1,33.1,1235.0,11,0,0,0,198779322
Badulla,House,5,4,2,14.9,2134.0,5,1,0,0,34327521
Matara,Apartment,5,4,1,8.1,1804.0,11,1,0,0,31253247
Colombo,Villa,4,4,1,7.2,1492.0,5,0,0,1,207659480
